,cm_cd,IncomePA,cm_occup,E2Channel,IsKarvy,KRA YN,age,months_since_last_login,months_since_last_trade,dp_holding,total_logins_one_year,total_trades_one_year
50498,11324273,5_10L,P,CAT,0,N,37.0,132.0,3.373578017296347,31.0,0.0,1.0
50504,10576558,<=1L,P,CAT,0,N,20.0,132.0,132.0,0.0,0.0,0.0
50508,10615300,5_10L,P,CAT,0,N,50.0,132.0,2.125092422109588,0.0,0.0,1.0
50513,10617565,5_10L,S,CAT,0,N,22.0,5.049177105573314,132.0,0.0,1.0,0.0
50542,10296437,<=1L,S,CAT,0,N,43.0,132.0,3.1107389446254503,0.0,0.0,1.0
50543,10004658,<=1L,S,CAT,0,Y,27.0,4.753483148818555,132.0,0.0,4.0,0.0
50550,11264055,<=1L,S,CAT,0,N,36.0,3.932111046722002,132.0,0.0,27.0,0.0
50558,10316647,<=1L,S,CAT,0,N,22.0,132.0,2.880754756038416,0.0,0.0,1.0
50589,10506644,5_10L,P,CAT,1,N,27.0,4.819192916986279,1.99367288577414,0.0,37.0,1.0
50592,10989226,5_10L,P,CAT,0,Y,42.0,132.0,132.0,0.0,0.0,0.0
50613,10615348,<=1L,P,CAT,0,N,35.0,132.0,132.0,0.0,0.0,0.0
50630,10749235,<=1L,S,CAT,0,N,31.0,1.2708654359291731,1.2051556677614492,0.0,61.0,1.0
50649,11039953,<=1L,S,Brp,0,Y,20.0,2.486496147032071,2.650770567451381,0.0,14.0,1.0
50668,10000ARG,1_5L,S,CAT,0,N,35.0,1.0080263632582769,132.0,0.0,532.0,0.0
50706,10189935,5_10L,S,CAT,0,N,31.0,1.0408812473421387,1.0737361314260008,0.0,7.0,3.0
50724,10389561,5_10L,S,CAT,0,Y,25.0,1.2380105518453113,132.0,0.0,6.0,0.0
50731,12414388,5_10L,P,CAT,0,N,29.0,6.429082237095522,8.13753620945635,0.0,451.0,62.0
50738,10535110,<=1L,P,CAT,0,N,28.0,11.784428342765043,132.0,0.0,1.0,0.0
50769,11264528,1_5L,S,CAT,0,N,24.0,3.143593828709313,1.3037203200130354,31.0,32.0,1.0
50793,12605493,5_10L,P,CAT,0,N,35.0,7.020470150605039,8.76177900704973,0.0,219.0,56.0
50811,10132391,<=1L,S,CAT,0,Y,20.0,132.0,3.603562205883382,0.0,0.0,2.0
50813,11111979,<=1L,S,CAT,0,N,42.0,6.133388280340763,132.0,0.0,21.0,0.0
50827,10615121,<=1L,P,CAT,0,N,51.0,132.0,132.0,0.0,0.0,0.0
50834,10507759,<=1L,S,CAT,0,N,20.0,132.0,1.2380105518453113,0.0,0.0,1.0
50835,10615272,<=1L,P,CAT,0,N,25.0,4.786338032902417,5.1477417578249005,0.0,377.0,6.0
50844,10604242,<=1L,others,CAT,0,Y,27.0,3.833546394470417,132.0,0.0,39.0,0.0
50851,11234556,1_5L,S,CAT,0,N,35.0,3.767836626302692,132.0,0.0,17.0,0.0
50857,10215029,5_10L,P,CAT,0,N,25.0,5.31201617824421,132.0,0.0,7.0,0.0
50861,10884167,<=1L,S,CAT,0,Y,21.0,1.7308338131032426,132.0,0.0,18.0,0.0
50883,11759788,5_10L,P,CAT,0,Y,29.0,132.0,132.0,0.0,0.0,0.0
50890,11143786,5_10L,P,CAT,0,N,33.0,132.0,132.0,0.0,0.0,0.0
50901,10805832,5_10L,P,CAT,0,N,19.0,6.494792005263246,132.0,0.0,1.0,0.0
50918,12492212,5_10L,P,CAT,0,N,25.0,132.0,132.0,0.0,0.0,0.0
50935,10402520,<=1L,S,CAT,0,N,22.0,1.3694300881807595,2.4536412629482087,0.0,29.0,2.0
50950,12346760,<=1L,O,CAT,0,N,23.0,132.0,2.0922375380257257,0.0,0.0,1.0
50953,100DEEKS,<=1L,O,CAT,0,N,21.0,3.9649659308058647,8.663214354798145,0.0,195.0,6.0
50969,10615105,<=1L,P,CAT,0,N,48.0,132.0,132.0,0.0,0.0,0.0
50974,10615162,5_10L,P,CAT,0,Y,39.0,132.0,132.0,0.0,0.0,0.0
50997,10474554,<=1L,P,CAT,0,N,26.0,4.392079423896072,132.0,0.0,42.0,0.0
51004,10079701,<=1L,S,CAT,0,N,26.0,1.139445899593725,1.2051556677614492,0.0,6.0,2.0
51008,10667550,<=1L,S,CAT,0,Y,21.0,3.0778840605415883,3.373578017296347,0.0,1.0,1.0
51033,1111NNNN,<=1L,S,CAT,0,N,28.0,1.6979789290193803,19.242487029801737,0.0,19.0,0.0
51041,11419068,5_10L,P,CAT,0,Y,56.0,6.067678512173039,1.9608180016902768,0.0,35.0,1.0
51053,12342372,<=1L,P,CAT,0,N,27.0,132.0,1.7636886971871049,0.0,0.0,1.0
51076,10495687,<=1L,S,CAT,0,Y,30.0,132.0,2.847899871954554,0.0,0.0,1.0
51107,10675686,5_10L,S,CAT,0,Y,25.0,132.0,0.5480579860842074,0.0,0.0,1.0
51139,12151998,1_5L,S,CAT,0,N,22.0,2.815044987870692,132.0,0.0,16.0,0.0
51145,10615356,<=1L,P,CAT,0,N,18.0,132.0,132.0,0.0,0.0,0.0
51166,12709690,5_10L,P,CAT,0,N,28.0,132.0,132.0,0.0,0.0,0.0
51167,11061997,<=1L,S,CAT,0,N,24.0,1.6651240449355185,1.9608180016902768,31.0,797.0,4.0
51181,11007079,<=1L,S,CAT,0,N,21.0,3.57070732179952,0.5152031020003452,0.0,4.0,1.0
51188,10100303,5_10L,S,CAT,0,N,28.0,4.4906440761476585,132.0,0.0,113.0,0.0
51259,10392783,<=1L,others,CAT,0,N,33.0,3.373578017296347,1.1723007836775872,0.0,164.0,6.0
51265,11002389,5_10L,P,CAT,0,Y,21.0,5.509145482747384,132.0,0.0,3.0,0.0
