,cm_cd,IncomePA,cm_occup,E2Channel,IsKarvy,KRA YN,age,months_since_last_login,months_since_last_trade,dp_holding,total_logins_one_year,total_trades_one_year
0,11154521,<=1L,P,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
7,10676783,<=1L,P,CAT,0,N,23.0,132.0,1.0408812473421387,0.0,0.0,1.0
66,10001723,<=1L,S,CAT,0,N,22.0,132.0,2.125092422109588,0.0,0.0,1.0
95,11841393,5_10L,P,CAT,0,N,44.0,132.0,132.0,0.0,0.0,0.0
109,10657727,5_10L,S,CAT,0,N,35.0,132.0,1.2708654359291731,0.0,0.0,1.0
117,11055132,<=1L,P,CAT,0,N,20.0,5.969113859921452,132.0,0.0,1.0,0.0
128,10937111,<=1L,S,CAT,0,Y,23.0,2.223657074361174,2.617915683367519,0.0,13.0,2.0
151,11037267,<=1L,S,CAT,0,Y,23.0,1.9279631176064151,1.9279631176064151,0.0,9.0,2.0
152,11551168,<=1L,P,CAT,0,N,21.0,7.053325034688902,2.0922375380257257,31.0,23.0,1.0
179,10945095,<=1L,P,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
186,11379642,<=1L,P,CAT,0,N,20.0,11.160185545171665,132.0,0.0,22.0,0.0
197,11179860,<=1L,S,CAT,0,Y,18.0,0.8766068269228283,1.2051556677614492,0.0,10.0,1.0
216,10615161,5_10L,P,CAT,0,Y,41.0,132.0,132.0,0.0,0.0,0.0
217,12614022,5_10L,P,CAT,0,N,23.0,14.675658142144906,132.0,0.0,0.0,0.0
220,12349692,<=1L,P,CAT,0,N,35.0,11.061620892920075,132.0,0.0,7.0,0.0
224,10548468,5_10L,P,CAT,0,Y,30.0,7.381873875527522,132.0,0.0,1.0,0.0
235,10615046,5_10L,P,CAT,0,N,32.0,0.6794775224196558,132.0,0.0,2.0,0.0
250,10264604,<=1L,S,CAT,0,N,24.0,1.1723007836775872,1.1723007836775872,0.0,3.0,1.0
256,10835807,<=1L,S,CAT,0,Y,36.0,2.880754756038416,2.880754756038416,0.0,5.0,1.0
260,12022018,1_5L,S,CAT,0,Y,33.0,4.52349896023152,132.0,0.0,52.0,0.0
262,10751656,5_10L,S,CAT,0,N,23.0,1.4022849722646218,1.467994740432346,0.0,10.0,2.0
274,1111NNNN,<=1L,S,CAT,0,N,28.0,1.6979789290193803,19.242487029801737,0.0,19.0,0.0
278,10163938,1_5L,S,CAT,0,N,23.0,132.0,2.0922375380257257,0.0,0.0,1.0
284,11259095,<=1L,P,GL Investments,0,N,24.0,3.833546394470417,132.0,0.0,17.0,0.0
289,12061997,<=1L,ST,CAT,0,N,24.0,2.3222217266127605,7.710422716366144,18.0,91.0,2.0
305,10361557,<=1L,S,CAT,0,N,23.0,132.0,0.9751714791744146,0.0,0.0,1.0
329,10970699,5_10L,S,CAT,0,N,20.0,3.86640127855428,4.98346733740559,0.0,3.0,2.0
369,10476843,<=1L,S,CAT,0,Y,22.0,0.6137677542519315,2.0922375380257257,0.0,61.0,2.0
389,10450603,5_10L,S,CAT,0,N,21.0,0.8766068269228283,1.0737361314260008,0.0,22.0,1.0
396,10615274,<=1L,P,CAT,0,N,29.0,132.0,132.0,0.0,0.0,0.0
400,11074876,<=1L,S,CAT,0,N,25.0,2.1579473061934498,2.223657074361174,0.0,17.0,1.0
428,10625883,5_10L,P,CAT,0,N,28.0,1.4351398563484838,132.0,0.0,279.0,0.0
439,11890160,5_10L,P,CAT,0,N,28.0,132.0,132.0,0.0,0.0,0.0
444,10014560,<=1L,P,CAT,0,N,19.0,6.199098048508487,132.0,0.0,8.0,0.0
446,11085074,<=1L,S,CAT,0,N,24.0,1.500849624516208,1.467994740432346,0.0,1.0,1.0
470,11021992,5_10L,P,CAT,0,Y,29.0,132.0,132.0,0.0,0.0,0.0
480,12340015,5_10L,P,CAT,0,N,25.0,1.0408812473421387,1.0737361314260008,0.0,297.0,110.0
488,11806838,5_10L,P,CAT,0,N,30.0,2.815044987870692,132.0,0.0,3.0,0.0
534,11964737,5_10L,P,CAT,0,N,23.0,10.897346472500766,132.0,0.0,5.0,0.0
570,10375738,<=1L,S,CAT,0,N,23.0,132.0,1.1723007836775872,0.0,0.0,1.0
578,12557822,5_10L,P,CAT,0,N,37.0,132.0,132.0,0.0,0.0,0.0
589,12280934,5_10L,P,CAT,0,Y,19.0,132.0,1.0408812473421387,0.0,0.0,1.0
591,10164373,5_10L,P,CAT,0,N,27.0,9.68171576139787,132.0,0.0,1.0,0.0
604,10615330,5_10L,P,CAT,0,N,32.0,132.0,132.0,0.0,0.0,0.0
617,10657844,<=1L,S,CAT,0,N,37.0,2.683625451535243,2.617915683367519,0.0,19.0,1.0
673,10792157,5_10L,P,CAT,0,Y,30.0,1.500849624516208,1.53370450860007,0.0,192.0,3.0
677,10615221,5_10L,P,CAT,0,N,21.0,132.0,132.0,0.0,0.0,0.0
680,10281453,<=1L,S,CAT,0,Y,28.0,3.045029176457726,132.0,0.0,22.0,0.0
691,10615286,<=1L,P,CAT,0,N,32.0,132.0,132.0,0.0,0.0,0.0
693,10848182,5_10L,S,CAT,0,Y,23.0,4.98346733740559,5.114886873741038,0.0,9.0,2.0
716,10618949,5_10L,P,CAT,0,Y,20.0,132.0,132.0,0.0,0.0,0.0
718,10269520,<=1L,S,CAT,0,N,19.0,2.7821901037868297,132.0,0.0,7.0,0.0
753,10395960,<=1L,S,CAT,0,Y,20.0,1.3037203200130354,1.6651240449355185,0.0,6.0,1.0
778,1235BHAR,others,others,CAT,0,N,36.0,2.815044987870692,2.880754756038416,1099628.0,176.0,358.0
793,10165028,5_10L,S,CAT,0,Y,27.0,3.702126858134968,4.293514771644486,0.0,15.0,2.0
800,10615204,<=1L,P,CAT,0,N,25.0,5.804839439502142,132.0,0.0,64.0,0.0
846,12561398,5_10L,P,CAT,0,N,20.0,132.0,1.895108233522553,0.0,0.0,1.0
856,10228729,5_10L,P,CAT,0,Y,34.0,1.7636886971871049,1.7636886971871049,0.0,23.0,3.0
870,10081989,1_5L,S,CAT,0,N,32.0,4.162095235309037,5.180596641908762,0.0,173.0,6.0
871,10468719,5_10L,P,CAT,0,Y,35.0,5.673419903166693,132.0,0.0,95.0,0.0
872,1001VIKA,<=1L,S,CAT,0,N,22.0,132.0,1.2708654359291731,31.0,0.0,1.0
882,10615322,<=1L,P,CAT,0,N,21.0,132.0,1.0408812473421387,0.0,0.0,1.0
907,12415894,5_10L,P,CAT,0,Y,38.0,4.293514771644486,132.0,0.0,19.0,0.0
935,10652120,<=1L,S,CAT,0,N,24.0,1.9279631176064151,3.4721426695479334,0.0,22.0,2.0
940,11221102,<=1L,P,CAT,0,N,31.0,132.0,132.0,0.0,0.0,0.0
951,10094193,<=1L,S,CAT,0,Y,21.0,1.139445899593725,2.1579473061934498,0.0,48.0,2.0
969,1001SAGA,<=1L,S,CAT,0,N,25.0,1.467994740432346,5.574855250915108,0.0,89.0,8.0
976,10289865,<=1L,S,CAT,0,N,22.0,1.9279631176064151,3.603562205883382,0.0,43.0,2.0
978,10091138,<=1L,S,CAT,0,N,27.0,132.0,2.617915683367519,31.0,0.0,1.0
1031,11017740,<=1L,S,CAT,0,Y,21.0,2.650770567451381,132.0,0.0,4.0,0.0
1043,10007793,<=1L,O,CAT,0,N,19.0,132.0,132.0,0.0,0.0,0.0
1050,10599874,5_10L,S,CAT,0,N,21.0,1.7308338131032426,1.6322691608516564,0.0,4.0,1.0
1059,12231116,5_10L,P,CAT,0,Y,24.0,132.0,132.0,0.0,0.0,0.0
1060,11146522,5_10L,P,CAT,0,N,29.0,5.903404091753728,6.001968744005315,0.0,159.0,4.0
1070,10017030,<=1L,S,CAT,0,N,27.0,4.884902685154003,132.0,0.0,13.0,0.0
1082,10249246,5_10L,P,CAT,0,N,20.0,5.213451525992625,132.0,0.0,14.0,0.0
1120,1125MLAP,5_10L,P,Franchisee,0,Y,36.0,3.045029176457726,3.9649659308058647,0.0,552.0,4.0
1127,10615071,5_10L,P,CAT,0,N,43.0,132.0,132.0,0.0,0.0,0.0
1131,10213998,<=1L,S,CAT,0,Y,28.0,1.3037203200130354,1.7636886971871049,0.0,18.0,1.0
1143,10093177,5_10L,P,CAT,0,N,29.0,2.7164803356191056,1.7636886971871049,0.0,32.0,1.0
1157,1001SSSS,1_5L,S,CAT,0,N,28.0,2.1579473061934498,4.162095235309037,0.0,61.0,3.0
1158,10930973,5_10L,P,CAT,0,N,22.0,0.6137677542519315,1.2051556677614492,0.0,83.0,1.0
1159,11011976,5_10L,P,CAT,0,N,45.0,132.0,132.0,0.0,0.0,0.0
1166,10799762,5_10L,S,CAT,0,N,19.0,132.0,0.8437519428389662,0.0,0.0,1.0
1169,12970943,5_10L,P,CAT,0,N,22.0,2.0922375380257257,9.123182731972213,0.0,68.0,4.0
1175,10163497,<=1L,S,CAT,0,N,20.0,1.0408812473421387,1.3037203200130354,0.0,9.0,1.0
1185,10598132,5_10L,P,CAT,0,N,20.0,6.494792005263246,132.0,0.0,21.0,0.0
1188,10294362,5_10L,P,CAT,0,Y,41.0,132.0,132.0,0.0,0.0,0.0
1206,10612199,5_10L,P,GL Investments,0,Y,24.0,3.275013365044761,132.0,0.0,36.0,0.0
1224,11194335,<=1L,S,CAT,0,N,21.0,3.307868249128623,3.373578017296347,0.0,78.0,1.0
1231,10735778,5_10L,P,CAT,0,N,24.0,132.0,132.0,0.0,0.0,0.0
1246,10186135,<=1L,S,CAT,0,Y,41.0,3.1107389446254503,132.0,0.0,68.0,0.0
1255,10939989,<=1L,S,CAT,0,Y,23.0,3.373578017296347,132.0,0.0,2.0,0.0
1335,10615319,<=1L,P,CAT,0,N,23.0,2.552205915199795,132.0,0.0,36.0,1.0
1360,11220399,<=1L,P,Franchisee,0,N,25.0,0.7123324065035178,3.012174292373864,0.0,11.0,1.0
1377,11061993,<=1L,S,CAT,0,N,28.0,0.7123324065035178,1.895108233522553,0.0,33.0,1.0
1402,12349921,<=1L,P,CAT,0,N,36.0,132.0,132.0,0.0,0.0,0.0
1427,10229981,<=1L,S,CAT,0,N,19.0,0.6794775224196558,0.8108970587551041,0.0,7.0,1.0
1428,11548462,<=1L,P,CAT,0,N,22.0,132.0,132.0,31.0,0.0,0.0
1439,10615357,<=1L,P,CAT,0,N,26.0,132.0,132.0,0.0,0.0,0.0
1443,10068247,5_10L,P,CAT,0,N,21.0,132.0,132.0,0.0,0.0,0.0
1489,11189449,5_10L,P,CAT,0,N,29.0,1.2380105518453113,2.3879314947804846,0.0,145.0,2.0
1518,11192001,5_10L,P,CAT,0,N,20.0,132.0,132.0,0.0,0.0,0.0
1542,10684683,5_10L,P,CAT,0,N,31.0,0.7123324065035178,1.9608180016902768,0.0,500.0,632.0
1579,12402927,5_10L,others,CAT,0,N,50.0,2.125092422109588,2.125092422109588,0.0,66.0,1.0
1590,10898878,5_10L,P,CAT,0,N,24.0,9.977409718152629,132.0,0.0,6.0,0.0
1592,10340039,<=1L,S,CAT,0,Y,20.0,3.997820814889727,132.0,0.0,4.0,0.0
1594,11592459,<=1L,P,CAT,0,N,33.0,132.0,132.0,0.0,0.0,0.0
1598,10615284,5_10L,P,CAT,0,Y,25.0,5.410580830495797,132.0,0.0,68.0,1.0
1606,1001RUPA,1_5L,S,CAT,0,N,35.0,4.622063612483107,2.0922375380257257,0.0,34.0,1.0
1631,10820824,<=1L,S,CAT,0,Y,23.0,0.6137677542519315,1.7636886971871049,0.0,27.0,2.0
1641,10594014,<=1L,S,CAT,0,N,20.0,1.99367288577414,1.9608180016902768,0.0,32.0,1.0
1643,10000889,1_5L,B,CAT,0,N,28.0,1.7308338131032426,2.4207863788643467,0.0,97.0,8.0
1646,10902164,<=1L,P,CAT,0,N,21.0,1.5665593926839323,12.737219981197043,0.0,6.0,0.0
1702,10081978,<=1L,P,CAT,0,N,43.0,132.0,132.0,0.0,0.0,0.0
1730,11100786,1_5L,B,CAT,0,Y,39.0,0.6794775224196558,132.0,0.0,81.0,0.0
1762,10818743,<=1L,P,others,0,N,26.0,3.833546394470417,132.0,0.0,146.0,0.0
1781,12348841,5_10L,S,CAT,0,Y,49.0,4.030675698973589,7.710422716366144,0.0,57.0,1.0
1782,12397348,5_10L,P,CAT,0,Y,36.0,4.457789192063796,9.090327847888352,0.0,350.0,231.0
1811,10993052,5_10L,P,CAT,0,N,27.0,11.225895313339388,132.0,0.0,1.0,0.0
1862,11938900,5_10L,P,CAT,0,Y,19.0,1.53370450860007,1.53370450860007,0.0,34.0,1.0
1884,10433112,5_10L,S,CAT,0,Y,30.0,1.1723007836775872,1.9279631176064151,0.0,562.0,37.0
1893,10093578,<=1L,S,CAT,0,N,23.0,4.589208728399244,132.0,0.0,29.0,0.0
1935,10940476,5_10L,S,CAT,0,N,42.0,2.190802190277312,132.0,0.0,36.0,0.0
1960,1234LANE,5_10L,P,CAT,0,Y,24.0,132.0,132.0,0.0,0.0,0.0
1973,12341652,<=1L,O,CAT,0,N,22.0,132.0,132.0,0.0,0.0,0.0
2017,1234CROR,<=1L,S,CAT,0,N,35.0,5.410580830495797,5.410580830495797,615.0,54.0,2.0
2018,11908995,1_5L,S,CAT,0,N,21.0,6.297662700760074,6.363372468927798,0.0,99.0,14.0
2028,11302094,<=1L,P,CAT,0,N,28.0,132.0,132.0,0.0,0.0,0.0
2033,10652680,5_10L,S,CAT,0,N,23.0,1.1723007836775872,1.1723007836775872,0.0,8.0,2.0
2049,12344198,5_10L,P,CAT,0,Y,20.0,132.0,132.0,0.0,0.0,0.0
2054,10920200,<=1L,S,CAT,0,Y,19.0,0.7123324065035178,1.0080263632582769,0.0,45.0,2.0
2067,11KAMINI,others,others,CAT,0,N,47.0,1.139445899593725,1.0737361314260008,31.0,8.0,1.0
2108,10991758,5_10L,S,CAT,0,Y,42.0,1.2708654359291731,1.2051556677614492,0.0,21.0,1.0
2111,10650107,5_10L,P,CAT,0,Y,23.0,2.979319408290002,132.0,0.0,41.0,0.0
2121,12548907,5_10L,P,CAT,0,Y,24.0,4.589208728399244,132.0,0.0,12.0,0.0
2216,11273924,5_10L,P,Franchisee,0,Y,24.0,1.9279631176064151,2.880754756038416,0.0,795.0,329.0
2219,10615282,5_10L,P,CAT,0,Y,55.0,1.1065910155098628,132.0,0.0,1.0,0.0
2232,10684628,<=1L,S,CAT,0,Y,32.0,3.603562205883382,132.0,0.0,35.0,0.0
2233,10513881,5_10L,P,CAT,0,Y,21.0,132.0,1.4351398563484838,31.0,0.0,1.0
2257,10119319,5_10L,P,CAT,0,Y,28.0,1.6651240449355185,1.7636886971871049,0.0,32.0,1.0
2258,12065072,5_10L,P,CAT,0,N,33.0,1.467994740432346,5.903404091753728,0.0,110.0,6.0
2261,12411636,<=1L,P,CAT,0,N,23.0,1.139445899593725,132.0,0.0,51.0,0.0
2263,10100012,<=1L,P,CAT,0,N,20.0,132.0,132.0,0.0,0.0,0.0
2270,11161834,<=1L,S,CAT,0,Y,19.0,0.9423165950905524,3.0778840605415883,0.0,61.0,4.0
2331,10768116,5_10L,P,CAT,0,N,33.0,132.0,132.0,0.0,0.0,0.0
2340,11198613,<=1L,S,CAT,0,N,20.0,1.500849624516208,1.9608180016902768,0.0,32.0,2.0
2355,10762624,<=1L,S,CAT,0,N,22.0,1.7308338131032426,1.862253349438691,0.0,11.0,3.0
2387,10119255,5_10L,P,CAT,0,N,23.0,9.51744134097856,132.0,0.0,8.0,0.0
2414,10817210,5_10L,P,CAT,0,Y,46.0,1.9279631176064151,3.997820814889727,0.0,145.0,24.0
2430,12343885,5_10L,P,CAT,0,Y,23.0,6.330517584843936,132.0,0.0,5.0,0.0
2442,10615276,<=1L,P,CAT,0,N,34.0,132.0,132.0,0.0,0.0,0.0
2473,10721702,<=1L,S,CAT,0,N,23.0,1.0080263632582769,1.0080263632582769,0.0,2.0,5.0
2476,10108970,<=1L,S,CAT,0,Y,22.0,2.913609640122278,2.880754756038416,0.0,5.0,1.0
2477,11111821,5_10L,P,CAT,0,Y,26.0,0.7123324065035178,1.6651240449355185,0.0,317.0,54.0
2492,11443775,5_10L,P,CAT,0,Y,28.0,132.0,132.0,0.0,0.0,0.0
2512,10311383,5_10L,P,CAT,0,Y,22.0,6.231952932592349,132.0,0.0,9.0,0.0
2517,10615032,5_10L,P,CAT,0,N,41.0,132.0,132.0,0.0,0.0,0.0
2520,11457812,5_10L,P,CAT,0,Y,23.0,8.498939934378834,132.0,0.0,33.0,0.0
2541,11289744,<=1L,P,CAT,0,N,19.0,132.0,1.0408812473421387,0.0,0.0,1.0
2572,11982421,5_10L,P,CAT,0,Y,30.0,1.6651240449355185,10.864491588416904,0.0,105.0,3.0
2585,10449087,5_10L,P,Franchisee,0,Y,22.0,0.8437519428389662,1.7308338131032426,0.0,20.0,1.0
2587,10615056,5_10L,P,CAT,0,N,28.0,132.0,132.0,0.0,0.0,0.0
2641,11587062,5_10L,P,CAT,0,N,24.0,132.0,132.0,0.0,0.0,0.0
2717,11182492,<=1L,S,CAT,0,N,29.0,1.0737361314260008,3.537852437715657,13878.0,59.0,9.0
2732,10105919,<=1L,S,CAT,0,N,35.0,0.9094617110066904,2.4536412629482087,0.0,31.0,1.0
2744,10058019,5_10L,S,CAT,0,Y,19.0,0.5809128701680695,132.0,0.0,7.0,0.0
2772,12340304,<=1L,O,CAT,0,N,28.0,11.225895313339388,132.0,0.0,7.0,0.0
2778,12431432,5_10L,P,CAT,0,Y,41.0,4.293514771644486,4.8520478010701416,0.0,47.0,10.0
2787,10006270,<=1L,B,CAT,0,N,28.0,2.256511958445036,2.190802190277312,31.0,54.0,1.0
2797,12342128,<=1L,P,CAT,0,N,22.0,132.0,132.0,0.0,0.0,0.0
2803,10341164,<=1L,S,CAT,0,Y,34.0,5.213451525992625,18.453969811789047,0.0,46.0,0.0
2819,111SUMAN,1_5L,S,CAT,0,N,31.0,1.0080263632582769,1.6979789290193803,31.0,322.0,1.0
2821,10592520,5_10L,P,CAT,0,Y,23.0,2.2893668425288984,2.190802190277312,0.0,9.0,1.0
2834,10908501,<=1L,S,CAT,0,N,18.0,0.9094617110066904,1.53370450860007,0.0,7.0,1.0
2865,10620282,5_10L,P,CAT,0,Y,21.0,0.8437519428389662,8.400375282127248,0.0,404.0,1.0
2873,10183453,5_10L,P,CAT,0,N,28.0,3.932111046722002,1.2708654359291731,0.0,89.0,1.0
2875,10781062,5_10L,P,CAT,0,N,51.0,132.0,132.0,0.0,0.0,0.0
2897,10364282,<=1L,S,CAT,0,Y,25.0,4.063530583057451,132.0,0.0,1.0,0.0
2913,123456PB,1_5L,S,CAT,0,N,30.0,3.833546394470417,132.0,0.0,29.0,0.0
2935,10591301,<=1L,P,CAT,0,N,24.0,8.13753620945635,132.0,0.0,5.0,0.0
2953,11475236,<=1L,P,CAT,0,N,24.0,4.753483148818555,132.0,0.0,8.0,0.0
2967,11017818,<=1L,S,CAT,0,N,24.0,3.209303596877037,3.242158480960899,0.0,4.0,1.0
3005,10325972,<=1L,S,CAT,0,Y,45.0,2.913609640122278,3.373578017296347,0.0,11.0,3.0
3028,10451653,<=1L,S,CAT,0,Y,32.0,1.0737361314260008,1.7308338131032426,0.0,222.0,24.0
3049,10269131,5_10L,P,CAT,0,Y,25.0,132.0,132.0,0.0,4.0,0.0
3057,10133113,<=1L,S,Brp,0,N,27.0,0.6466226383357937,0.8437519428389662,0.0,32.0,1.0
3071,10615207,<=1L,P,CAT,0,N,21.0,6.067678512173039,12.080122299519802,0.0,26.0,0.0
3087,12345SRK,1_5L,S,GL Investments,0,Y,25.0,3.767836626302692,3.997820814889727,0.0,44.0,2.0
3091,10228047,<=1L,S,CAT,0,Y,41.0,0.7123324065035178,1.6322691608516564,0.0,61.0,1.0
3100,11074882,5_10L,S,CAT,0,Y,26.0,4.52349896023152,1.99367288577414,0.0,21.0,1.0
3119,10717888,5_10L,P,CAT,0,N,21.0,7.316164107359798,132.0,0.0,7.0,0.0
3123,10000909,<=1L,O,CAT,0,N,27.0,132.0,132.0,0.0,0.0,0.0
3136,11201133,5_10L,P,CAT,0,Y,19.0,2.026527769858001,1.9608180016902768,0.0,1.0,1.0
3201,10316260,<=1L,P,CAT,0,N,22.0,7.907552020869316,132.0,0.0,5.0,0.0
3205,10649461,<=1L,S,CAT,0,N,28.0,6.264807816676211,132.0,0.0,7.0,0.0
3244,11790481,1_5L,S,CAT,0,N,32.0,1.53370450860007,4.687773380650831,0.0,1005.0,406.0
3260,10840653,<=1L,S,CAT,0,Y,32.0,2.125092422109588,3.373578017296347,0.0,35.0,1.0
3261,1097PRAN,5_10L,P,CAT,0,Y,44.0,6.001968744005315,132.0,0.0,39.0,0.0
3268,10678677,<=1L,P,CAT,0,N,40.0,1.6979789290193803,1.2708654359291731,0.0,1428.0,121.0
3276,10010246,<=1L,S,CAT,0,N,22.0,5.837694323586004,132.0,0.0,9.0,0.0
3313,10615218,5_10L,P,CAT,0,Y,53.0,5.673419903166693,5.837694323586004,0.0,265.0,11.0
3315,10294078,<=1L,S,CAT,0,Y,31.0,0.9751714791744146,2.847899871954554,0.0,164.0,1.0
3323,10900104,<=1L,S,CAT,0,Y,32.0,0.9751714791744146,1.2708654359291731,0.0,83.0,1.0
3325,10620632,5_10L,P,CAT,0,N,19.0,8.958908311552904,132.0,0.0,4.0,0.0
3332,12318037,5_10L,P,CAT,0,N,41.0,1.5665593926839323,8.334665513959523,0.0,51.0,2.0
3335,10418257,<=1L,S,CAT,0,Y,21.0,0.778042174671242,1.0737361314260008,0.0,95.0,1.0
3336,10018115,<=1L,S,CAT,0,Y,40.0,1.796543581270967,132.0,0.0,121.0,0.0
3341,10445162,<=1L,S,CAT,0,Y,20.0,132.0,2.880754756038416,0.0,0.0,1.0
3376,10428808,5_10L,S,CAT,1,N,45.0,4.424934307979934,132.0,0.0,33.0,0.0
3383,12692560,5_10L,P,CAT,0,Y,62.0,1.3694300881807595,1.467994740432346,0.0,146.0,10.0
3385,10729361,<=1L,S,CAT,0,N,59.0,1.3694300881807595,1.2708654359291731,0.0,21.0,1.0
3412,10880317,<=1L,S,CAT,0,Y,45.0,5.180596641908762,132.0,0.0,6.0,0.0
3436,11313545,5_10L,P,CAT,0,Y,26.0,10.667362283913732,132.0,0.0,13.0,0.0
3474,10615117,5_10L,P,CAT,0,N,36.0,132.0,132.0,0.0,0.0,0.0
3497,10296077,5_10L,P,CAT,0,Y,22.0,132.0,132.0,0.0,0.0,0.0
3534,11642219,1_5L,S,CAT,0,N,33.0,3.176448712793175,2.617915683367519,0.0,31.0,1.0
3545,10773014,5_10L,P,CAT,0,Y,31.0,132.0,132.0,0.0,0.0,0.0
3557,10142812,5_10L,P,CAT,0,Y,27.0,132.0,132.0,0.0,0.0,0.0
3567,10149878,5_10L,P,CAT,0,N,27.0,9.55029622506242,132.0,0.0,1.0,0.0
3584,12347100,5_10L,P,CAT,0,Y,22.0,132.0,132.0,0.0,0.0,0.0
3603,10000VRS,<=1L,S,CAT,0,Y,39.0,1.9608180016902768,132.0,0.0,10.0,0.0
3608,10603096,<=1L,P,GL Investments,0,N,27.0,0.6794775224196558,1.6322691608516564,0.0,10.0,1.0
3610,11481314,5_10L,P,CAT,0,Y,21.0,132.0,1.4351398563484838,0.0,0.0,1.0
3621,11844123,5_10L,P,Franchisee,0,Y,24.0,1.4022849722646218,6.363372468927798,0.0,632.0,41.0
3642,11146745,<=1L,P,CAT,0,N,35.0,132.0,132.0,0.0,0.0,0.0
3658,10615342,5_10L,P,CAT,0,N,19.0,132.0,132.0,0.0,0.0,0.0
3660,10068536,5_10L,P,CAT,0,Y,33.0,132.0,1.7636886971871049,0.0,0.0,1.0
3701,10452273,<=1L,P,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
3715,12345824,5_10L,P,CAT,0,N,27.0,132.0,1.4351398563484838,0.0,0.0,1.0
3728,11890361,5_10L,P,CAT,0,N,26.0,132.0,132.0,0.0,0.0,0.0
3733,12021988,1_5L,S,CAT,0,N,33.0,2.4207863788643467,132.0,0.0,10.0,0.0
3735,10678677,<=1L,P,CAT,0,N,40.0,1.6979789290193803,1.2708654359291731,0.0,1428.0,121.0
3755,10002179,1_5L,O,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
3762,10009341,<=1L,S,CAT,0,N,36.0,5.410580830495797,132.0,0.0,3.0,0.0
3769,10544638,5_10L,P,CAT,0,Y,20.0,5.377725946411935,1.9608180016902768,0.0,25.0,1.0
3779,10992702,<=1L,S,CAT,0,N,19.0,0.778042174671242,132.0,0.0,31.0,0.0
3788,10615314,5_10L,P,CAT,0,N,27.0,132.0,2.3879314947804846,0.0,0.0,1.0
3818,11290611,5_10L,P,CAT,0,Y,25.0,4.8520478010701416,132.0,0.0,79.0,0.0
3847,10806956,<=1L,S,CAT,0,Y,20.0,1.7636886971871049,1.862253349438691,0.0,18.0,3.0
3856,10007611,<=1L,B,CAT,0,N,21.0,5.114886873741038,5.870549207669867,0.0,188.0,9.0
3859,10966369,<=1L,ST,CAT,0,N,24.0,6.330517584843936,132.0,0.0,16.0,0.0
3872,10448902,5_10L,P,CAT,0,N,25.0,132.0,0.9423165950905524,0.0,0.0,1.0
3887,12245091,<=1L,ST,CAT,0,N,23.0,1.139445899593725,132.0,0.0,85.0,0.0
3908,10998283,5_10L,S,CAT,0,N,22.0,2.059382653941864,2.0922375380257257,0.0,3.0,1.0
3921,11185472,<=1L,P,CAT,0,N,27.0,3.7349817422188303,132.0,0.0,10.0,0.0
3964,10810745,5_10L,P,CAT,0,Y,20.0,6.9876152665211775,132.0,0.0,6.0,0.0
3989,11091997,<=1L,ST,CAT,0,N,24.0,1.5994142767677944,13.91999580821608,0.0,58.0,0.0
3994,10101033,5_10L,P,CAT,0,N,19.0,132.0,132.0,0.0,0.0,0.0
4006,11062458,<=1L,S,CAT,0,N,24.0,1.3694300881807595,132.0,0.0,14.0,0.0
4010,10965083,5_10L,P,CAT,0,N,31.0,1.139445899593725,3.373578017296347,0.0,2.0,1.0
4033,10881015,<=1L,S,CAT,0,N,37.0,0.6794775224196558,1.1723007836775872,0.0,22.0,1.0
4085,10000CAL,1_5L,S,CAT,0,N,49.0,5.1477417578249005,132.0,0.0,17.0,0.0
4103,11166567,<=1L,P,CAT,0,N,33.0,132.0,132.0,0.0,0.0,0.0
4135,10303144,5_10L,S,CAT,1,N,24.0,132.0,132.0,0.0,0.0,0.0
4191,10166610,5_10L,P,CAT,0,Y,32.0,2.683625451535243,7.020470150605039,0.0,51.0,2.0
4200,12343875,5_10L,P,CAT,0,Y,40.0,6.297662700760074,132.0,0.0,5.0,0.0
4246,12346590,<=1L,P,CAT,0,N,26.0,132.0,132.0,0.0,0.0,0.0
4259,11572134,<=1L,P,CAT,0,N,37.0,132.0,2.125092422109588,0.0,0.0,1.0
4275,10031435,5_10L,P,CAT,0,N,37.0,132.0,132.0,0.0,0.0,0.0
4279,10809609,5_10L,P,CAT,0,Y,21.0,132.0,2.125092422109588,0.0,0.0,1.0
4306,10047138,5_10L,S,CAT,0,N,20.0,3.373578017296347,3.242158480960899,0.0,5.0,2.0
4307,10440569,<=1L,S,CAT,0,Y,24.0,1.6651240449355185,1.7636886971871049,0.0,8.0,1.0
4317,12534262,5_10L,P,CAT,0,Y,40.0,132.0,3.603562205883382,0.0,0.0,1.0
4332,11913108,<=1L,P,CAT,0,N,19.0,11.58729903826187,132.0,0.0,9.0,0.0
4345,10533230,5_10L,P,CAT,0,Y,27.0,5.77198455541828,132.0,0.0,7.0,0.0
4380,10615247,5_10L,P,CAT,0,Y,32.0,3.373578017296347,132.0,0.0,253.0,0.0
4396,10735465,<=1L,S,CAT,0,N,18.0,1.0080263632582769,1.0080263632582769,0.0,2.0,1.0
